"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSMUSG00000045932",466.065235447998,6.71248104130274,0.895066295895305,7.83953449581098e-17,9.1763544631032e-15,"Ifit2","15958"
"ENSMUSG00000048612",911.725088339157,2.55456532430822,0.315658354687518,7.94980296708908e-17,9.24500138555833e-15,"Myof","226101"
"ENSMUSG00000074227",1733.2397337083,-2.25848020435366,0.281161998368928,8.4583165235678e-17,9.77290262068231e-15,"Spint2","20733"
"ENSMUSG00000074264",351.636972819468,-4.00373467997698,0.521419140915205,9.42754460476449e-17,1.08229420722261e-14,"Amy1","11722"
"ENSMUSG00000015542",400.131307811885,-1.50076323545072,0.183708638780813,1.02422681031539e-16,1.16833617490054e-14,"Nat9","66176"
"ENSMUSG00000024164",299.15711490793,10.0350877784101,1.47897871122682,1.29103315605227e-16,1.46336156909748e-14,"C3","12266"
"ENSMUSG00000053175",145.787808865736,10.3602056830092,2.7027278393867,1.36431458098772e-16,1.53669873150371e-14,"Bcl3","12051"
"ENSMUSG00000030536",2107.37575561045,2.36585954157574,0.293996936512814,1.3807214693053e-16,1.5386528998201e-14,"Iqgap1","29875"
"ENSMUSG00000098318",96.845361924236,11.8301555468408,2.968588770457,1.38323254716085e-16,1.5386528998201e-14,"Lockd","381822"
"ENSMUSG00000051510",219.706743210857,2.50716142993567,0.312743154571705,1.61750718504203e-16,1.78814420845171e-14,"Mafg","17134"
"ENSMUSG00000063856",2825.90526681419,2.64885423907525,0.331384869727913,1.73165313607265e-16,1.90258748551688e-14,"Gpx1","14775"
"ENSMUSG00000054091",2721.10955947814,0.874818464533388,0.106858083650402,1.8396938368259e-16,2.00896810510457e-14,"1810037I17Rik","67704"
"ENSMUSG00000035683",215.777162656725,12.4055915656843,2.98763043582548,1.87769766917855e-16,2.03804167014053e-14,"Melk","17279"
"ENSMUSG00000029580",54240.7297428172,1.71182917173684,0.21241879061946,1.96197735318557e-16,2.11668990471087e-14,"Actb","11461"
"ENSMUSG00000056612",466.765754510663,3.85432598460835,0.512824675026619,2.06691337278297e-16,2.21654799959103e-14,"Ppp1r14b","18938"
"ENSMUSG00000028719",1103.83166010753,1.63249739905513,0.203590033093736,2.19669192162831e-16,2.34169973955008e-14,"Cmpk1","66588"
"ENSMUSG00000034595",173.051447016712,9.23728337373111,1.1896610302504,2.65198997601674e-16,2.8103247621588e-14,"Ppp1r18","76448"
"ENSMUSG00000026509",2370.82328272523,1.76613684154126,0.220396218811814,2.78197597660603e-16,2.93072986853161e-14,"Capn2","12334"
"ENSMUSG00000032366",7032.15998154307,3.17254027945772,0.414044625700913,2.80079340545887e-16,2.93329877768204e-14,"Tpm1","22003"
