gene	Foxj1_tdT_Uninj_rep1	Foxj1_tdT_Uninj_rep2	Foxj1_tdT_1dpi_rep1	Foxj1_tdT_1dpi_rep2	Foxj1_tdT_5dpi_rep1	Foxj1_tdT_5dpi_rep2	Foxj1_Olig2_tdT_Uninj_rep1	Foxj1_Olig2_tdT_Uninj_rep2	Foxj1_Olig2_tdT_1dpi_rep1	Foxj1_Olig2_tdT_1dpi_rep2	Foxj1_Olig2_tdT_5dpi_rep1	Foxj1_Olig2_tdT_5dpi_rep2
158	2810004N23Rik	367,9	391,7	1097,5	838,6	588,3	466,3	386,2	588,1	518,6	566,9	601,8	721,2
159	2810006K23Rik	340,8	315,3	244,4	513,1	267,4	220,7	317,8	230,7	80,4	259,6	463,3	321,1
160	2810021J22Rik	118,2	135,8	140	220,4	144,9	31,6	280,7	111,6	48,6	138,7	91,1	49,9
161	2810025M15Rik	22,4	17,9	181,8	274,4	249,5	293,4	29,5	40,7	61,1	132,6	632	545,4
162	2810039B14Rik	180,5	191,3	84,9	97,3	71,4	222,1	190,3	100,9	82,1	143,2	108	66,4
163	2810047C21Rik1	2149,1	1944,6	711,8	1201,3	1895,7	2057,2	1003,6	1372,7	178	716,1	268	356,9
164	2810403A07Rik	1206,1	1181,9	1087	1251,7	1378,9	1303,5	1600,7	732,4	1118,7	1312,6	1368,9	1295,1
165	2810408A11Rik	2,6	0,7	35,2	74,8	57,5	62,5	4,7	10,5	0	85,6	71,9	119,4
166	2810428I15Rik	389,6	469,9	345,3	305,1	418,9	425,6	243,5	238,9	405,4	407,8	628,1	657,6
167	2810459M11Rik	127,7	140,7	150,8	70,6	474,2	319,5	26,9	302	219,1	226,3	323,5	223,7
168	2810474O19Rik	685,7	589	741,7	661,7	1034,9	796,5	995,5	766,8	319	1143,1	1319,2	1593,5
169	2900011O08Rik	78	55,6	297,4	143,7	81,5	84,9	0	0	107,2	45	193,7	204,6
170	2900026A02Rik	182,7	205	347,6	473,9	836,8	638,5	157,5	218,7	291,6	427,4	517,5	359,8
171	3000002C10Rik	119,2	108	151,9	136	170,1	144,5	109,1	114,6	41,9	116,1	62,7	55,5
172	3110001I22Rik	5,5	2,6	58,1	101,8	46,5	272,2	54,6	59,3	55,5	16,6	76,6	105,6
173	3110002H16Rik	242,4	216,4	174,8	420,6	350,7	576	480,7	169,5	66,6	241,5	301,7	317
174	3110009E18Rik	68,2	67,2	157,5	105,2	90,8	41,8	28,1	4,3	43,1	65,5	85,9	106
175	3110021N24Rik	1,1	1,7	3,2	4,4	25,6	0	89,4	70,2	16,9	1,9	19	14,2
176	3110035E14Rik	207,3	234,1	0	50,1	151,6	12,2	171,6	184,2	1,1	0,9	330,1	217,9
177	3110040N11Rik	235,7	225,4	511,5	245,1	207,6	239,4	216,4	191	264,4	238,7	310,3	485,1
178	3110043O21Rik	623,7	612,2	297,5	360,8	800,6	521,5	833,2	429,9	281,9	198,9	499	505,1
179	3110053B16Rik	2,9	0	6	10,3	11,6	33,4	15	0	0	7,3	24,1	15,3
180	3110062M04Rik	352,7	327,8	116	143,3	271	69,5	187,2	61,8	177	232,7	183,9	122,4
181	3110067C02Rik	6,7	6,1	0	0	14,4	1	0	0	0	25,5	0	0
182	3110070M22Rik	30,3	33,6	0	0	18,5	51,6	1,1	67,1	0	10,5	8,1	31
183	3110082I17Rik	976,5	950,9	769,9	1013,9	522,4	361,4	587,1	559,7	774,8	577,9	320,6	375,3
184	3110082J24Rik	0	4,5	10,5	0	10	61,6	44	40,7	48,2	0	19,2	21,8
185	3300002I08Rik	29,8	35,7	58,2	71,2	62,5	55,1	72,2	2	79,1	21,6	20,9	60,4
186	3632451O06Rik	33,4	32,9	59,1	21,8	50,5	27,3	64,6	29,3	38,9	13,4	125,3	33,7
187	3830406C13Rik	668,7	645,7	733,2	751,4	875,9	1065,1	1095,6	1203,7	790	759,5	810	847,4
188	4430402I18Rik	960,2	899,8	304,9	468,7	138,1	480	1002,4	369	490	458,1	122,8	64,1
189	4833420G17Rik	1246,9	1270,2	478,4	549,3	797,3	778,5	1254,5	1173,9	704	478,5	775,7	450,5
190	4833427G06Rik	1765,3	1621,7	892,5	705	727,3	566,5	1065,7	1715,9	979,9	896,3	163,4	48,7
191	4833439L19Rik	3669,7	3300,8	2625,7	2436	3113,4	2914	4662,4	4416,3	3551,1	3419,7	3478,8	3246,6
192	4921504E06Rik	0	0	0	0	0	0	0	65,9	3,9	0	8,8	0
193	4921507P07Rik	9	6,1	0	0	2	30,5	2,1	0	52,8	4,7	0	19,6
194	4921524J17Rik	615,7	600,2	335,6	459,3	680,6	432	743,5	244	387,5	462,6	698,6	481,2
195	4921536K21Rik	172,6	191,5	93,3	12,2	76,8	5,1	330,5	144,7	198,7	155,3	46,2	27,3
196	4930402H24Rik	5484,6	5433,7	2193,5	2241,4	2407	2803,5	3667,7	2063,3	2371,5	2004,2	1190,8	1239,6
197	4930415F15Rik	0	0	0	6,9	46,9	16,3	0	0	0	0	1,1	4,2
198	4930426L09Rik	0	0	0	0	0	0	0	0	0	8,5	38,8	0
199	4930427A07Rik	63,1	76,2	62,6	230,5	25,9	41,8	92	0,7	114,4	253	124,9	227,7
200	4930430F08Rik	214,7	233,4	566,4	236,4	206,6	800,6	236,7	474,6	340,2	195,7	424,3	359,4
201	4930431P19Rik	0	0,8	15,8	32,2	54,5	91,2	39,3	106,1	100,6	13,2	10,2	6,1
202	4930432K21Rik	74,8	65,5	44	29,4	0	43,9	41,4	36,3	24,6	25	13,8	34,8
203	4930444P10Rik	162,5	159,4	30,9	79,6	36,5	57,7	59,1	156,5	71,1	29,9	4,2	27,7
204	4930451G09Rik	50,5	41	97,7	18,9	10,3	71,2	15,8	52,3	34,9	50	7,3	0
205	4930452B06Rik	306,7	294,3	122,4	81,9	110,9	5,1	307,9	155,1	0	121,6	47,8	87,4
206	4930453N24Rik	837	738,3	434,9	796,8	770,8	449	785,4	315,6	712,1	516,6	716,2	831,2
207	4930455H04Rik	40,6	48,7	0	0	0	0	74,2	0	0	0	0	0
208	4930503B20Rik	4,9	1,9	23,8	0	0	0	0	8	113,7	72,5	24,9	17,9
209	4930503L19Rik	1120,6	1001,8	582,6	797	693,8	687,4	1076	930,8	718	703	776,3	1090,1
